LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate 
,,,,,,,,
CN0100100000000,1,1,"Autauga County, AL",2014,"25,610","24,111","1,499",5.9
CN0100300000000,1,3,"Baldwin County, AL",2014,"86,444","81,131","5,313",6.1
CN0100500000000,1,5,"Barbour County, AL",2014,"8,852","7,917",935,10.6
CN0100700000000,1,7,"Bibb County, AL",2014,"8,564","7,946",618,7.2
CN0100900000000,1,9,"Blount County, AL",2014,"24,543","23,036","1,507",6.1
CN0101100000000,1,11,"Bullock County, AL",2014,"4,734","4,316",418,8.8
CN0101300000000,1,13,"Butler County, AL",2014,"9,276","8,482",794,8.6
CN0101500000000,1,15,"Calhoun County, AL",2014,"47,274","43,492","3,782",8
CN0101700000000,1,17,"Chambers County, AL",2014,"15,314","14,285","1,029",6.7
CN0101900000000,1,19,"Cherokee County, AL",2014,"11,394","10,731",663,5.8
CN0102100000000,1,21,"Chilton County, AL",2014,"19,108","17,909","1,199",6.3
CN0102300000000,1,23,"Choctaw County, AL",2014,"4,497","4,091",406,9
CN0102500000000,1,25,"Clarke County, AL",2014,"8,161","7,166",995,12.2
CN0102700000000,1,27,"Clay County, AL",2014,"5,516","5,120",396,7.2
CN0102900000000,1,29,"Cleburne County, AL",2014,"5,857","5,470",387,6.6
CN0103100000000,1,31,"Coffee County, AL",2014,"20,242","18,895","1,347",6.7
CN0103300000000,1,33,"Colbert County, AL",2014,"24,043","22,046","1,997",8.3
CN0103500000000,1,35,"Conecuh County, AL",2014,"4,721","4,232",489,10.4
CN0103700000000,1,37,"Coosa County, AL",2014,"4,471","4,076",395,8.8
CN0103900000000,1,39,"Covington County, AL",2014,"15,921","14,682","1,239",7.8
CN0104100000000,1,41,"Crenshaw County, AL",2014,"6,303","5,865",438,6.9
CN0104300000000,1,43,"Cullman County, AL",2014,"35,942","33,758","2,184",6.1
CN0104500000000,1,45,"Dale County, AL",2014,"20,330","18,888","1,442",7.1
CN0104700000000,1,47,"Dallas County, AL",2014,"16,015","14,211","1,804",11.3
CN0104900000000,1,49,"DeKalb County, AL",2014,"28,965","26,970","1,995",6.9
CN0105100000000,1,51,"Elmore County, AL",2014,"36,567","34,474","2,093",5.7
CN0105300000000,1,53,"Escambia County, AL",2014,"14,376","13,223","1,153",8
CN0105500000000,1,55,"Etowah County, AL",2014,"43,756","40,663","3,093",7.1
CN0105700000000,1,57,"Fayette County, AL",2014,"6,354","5,854",500,7.9
CN0105900000000,1,59,"Franklin County, AL",2014,"13,724","12,661","1,063",7.7
CN0106100000000,1,61,"Geneva County, AL",2014,"10,800","10,077",723,6.7
CN0106300000000,1,63,"Greene County, AL",2014,"2,988","2,615",373,12.5
CN0106500000000,1,65,"Hale County, AL",2014,"6,037","5,440",597,9.9
CN0106700000000,1,67,"Henry County, AL",2014,"6,780","6,271",509,7.5
CN0106900000000,1,69,"Houston County, AL",2014,"45,177","42,104","3,073",6.8
CN0107100000000,1,71,"Jackson County, AL",2014,"23,463","21,756","1,707",7.3
CN0107300000000,1,73,"Jefferson County, AL",2014,"312,342","292,670","19,672",6.3
CN0107500000000,1,75,"Lamar County, AL",2014,"5,629","5,235",394,7
CN0107700000000,1,77,"Lauderdale County, AL",2014,"43,502","40,369","3,133",7.2
CN0107900000000,1,79,"Lawrence County, AL",2014,"14,031","12,875","1,156",8.2
CN0108100000000,1,81,"Lee County, AL",2014,"71,402","67,397","4,005",5.6
CN0108300000000,1,83,"Limestone County, AL",2014,"39,604","37,184","2,420",6.1
CN0108500000000,1,85,"Lowndes County, AL",2014,"3,875","3,378",497,12.8
CN0108700000000,1,87,"Macon County, AL",2014,"8,242","7,490",752,9.1
CN0108900000000,1,89,"Madison County, AL",2014,"170,190","159,664","10,526",6.2
CN0109100000000,1,91,"Marengo County, AL",2014,"7,629","7,019",610,8
CN0109300000000,1,93,"Marion County, AL",2014,"12,298","11,324",974,7.9
CN0109500000000,1,95,"Marshall County, AL",2014,"39,931","37,261","2,670",6.7
CN0109700000000,1,97,"Mobile County, AL",2014,"185,451","171,055","14,396",7.8
CN0109900000000,1,99,"Monroe County, AL",2014,"7,620","6,776",844,11.1
CN0110100000000,1,101,"Montgomery County, AL",2014,"105,077","97,854","7,223",6.9
